,CUSIP,year,month,return,dummy_variable
417,68389X10,2020,11,0.028694,0
418,68389X10,2020,12,0.120755,0
419,43851610,1980,01,0.150127,0
420,43851610,1980,02,-0.013274,0
421,43851610,1980,03,-0.194570,0
422,43851610,1980,04,0.061798,0
423,43851610,1980,05,0.059259,0
424,43851610,1980,06,-0.032828,0
425,43851610,1980,07,0.070496,0
426,43851610,1980,08,0.044878,0
427,43851610,1980,09,-0.021226,0
428,43851610,1980,10,0.065060,0
429,43851610,1980,11,0.059729,0
430,43851610,1980,12,-0.077586,0
431,43851610,1981,01,-0.065421,0
432,43851610,1981,02,0.076000,0
433,43851610,1981,03,-0.016432,0
434,43851610,1981,04,0.002387,0
435,43851610,1981,05,0.044762,0
436,43851610,1981,06,-0.006912,0
437,43851610,1981,07,-0.002320,0
438,43851610,1981,08,-0.093488,0
439,43851610,1981,09,-0.135065,0
440,43851610,1981,10,0.141141,0
441,43851610,1981,11,0.002105,0
442,43851610,1981,12,-0.066489,0
443,43851610,1982,01,-0.002849,0
444,43851610,1982,02,-0.112000,0
445,43851610,1982,03,-0.150327,0
446,43851610,1982,04,0.046154,0
447,43851610,1982,05,0.028676,0
448,43851610,1982,06,-0.120000,0
449,43851610,1982,07,0.140496,0
450,43851610,1982,08,0.028261,0
451,43851610,1982,09,-0.107527,0
452,43851610,1982,10,0.100402,0
453,43851610,1982,11,0.039416,0
454,43851610,1982,12,-0.075000,0
455,43851610,1983,01,0.069498,0
456,43851610,1983,02,0.100361,0
457,43851610,1983,03,0.186667,0
458,43851610,1983,04,0.022472,0
459,43851610,1983,05,0.087363,0
460,43851610,1983,06,0.025575,0
461,43851610,1983,07,0.042394,0
462,43851610,1983,08,0.042584,0
463,43851610,1983,09,0.051044,0
464,43851610,1983,10,-0.022075,0
465,43851610,1983,11,-0.004966,0
466,43851610,1983,12,0.022936,0
467,43851610,1984,01,-0.056054,0
468,43851610,1984,02,-0.066983,0
469,43851610,1984,03,0.061856,0
470,43851610,1984,04,0.036408,0
471,43851610,1984,05,-0.049415,0
472,43851610,1984,06,-0.052434,0
473,43851610,1984,07,-0.090909,0
474,43851610,1984,08,0.198261,0
475,43851610,1984,09,0.036765,0
476,43851610,1984,10,-0.067376,0
477,43851610,1984,11,0.070722,0
478,43851610,1984,12,-0.007194,0
479,43851610,1985,01,0.130435,0
480,43851610,1985,02,0.001923,0
481,43851610,1985,03,-0.022654,0
482,43851610,1985,04,0.178808,0
483,43851610,1985,05,-0.054494,0
484,43851610,1985,06,0.024024,0
485,43851610,1985,07,0.046921,0
486,43851610,1985,08,-0.059944,0
487,43851610,1985,09,0.069277,0
488,43851610,1985,10,-0.011268,0
489,43851610,1985,11,0.064387,0
490,43851610,1985,12,0.010811,0
491,43851610,1986,01,0.005348,0
492,43851610,1986,02,0.100000,0
493,43851610,1986,03,0.004878,0
494,43851610,1986,04,0.007282,0
495,43851610,1986,05,-0.017446,0
496,43851610,1986,06,-0.008287,0
497,43851610,1986,07,-0.080780,0
498,43851610,1986,08,0.007758,0
499,43851610,1986,09,-0.012158,0
500,43851610,1986,10,0.006154,0
501,43851610,1986,11,0.026300,0
502,43851610,1986,12,-0.033133,0
503,43851610,1987,01,0.177570,0
504,43851610,1987,02,-0.016931,0
505,43851610,1987,03,-0.002717,0
506,43851610,1987,04,-0.035422,0
507,43851610,1987,05,-0.074576,0
508,43851610,1987,06,0.077160,0
509,43851610,1987,07,0.008596,0
510,43851610,1987,08,0.058523,0
511,43851610,1987,09,-0.010840,0
512,43851610,1987,10,-0.208219,0
513,43851610,1987,11,-0.184775,0
514,43851610,1987,12,-0.025862,0
515,43851610,1988,01,0.106195,0
516,43851610,1988,02,0.054400,0
517,43851610,1988,03,-0.007692,0
518,43851610,1988,04,-0.023256,0
519,43851610,1988,05,0.061905,0
520,43851610,1988,06,0.045455,0
521,43851610,1988,07,0.028986,0
522,43851610,1988,08,-0.057746,0
523,43851610,1988,09,0.022727,0
524,43851610,1988,10,0.011111,0
525,43851610,1988,11,0.013187,0
526,43851610,1988,12,-0.047619,0
527,43851610,1989,01,0.069231,0
528,43851610,1989,02,-0.015827,0
529,43851610,1989,03,-0.033333,0
530,43851610,1989,04,0.030651,0
531,43851610,1989,05,0.054275,0
532,43851610,1989,06,-0.057143,0
533,43851610,1989,07,0.125000,0
534,43851610,1989,08,0.092929,0
535,43851610,1989,09,-0.068536,0
536,43851610,1989,10,-0.033445,0
537,43851610,1989,11,0.015917,0
538,43851610,1989,12,-0.037931,0
539,43851610,1990,01,-0.025090,0
540,43851610,1990,02,0.046324,0
541,43851610,1990,03,0.053381,0
542,43851610,1990,04,-0.050676,0
543,43851610,1990,05,0.051957,0
544,43851610,1990,06,0.006849,0
545,43851610,1990,07,-0.081633,0
546,43851610,1990,08,-0.068148,0
547,43851610,1990,09,-0.100806,0
