,date,CUSIP,quarters,average_return,date,CUSIP,quarters
3562,1993,21037110,1,0.033071333333333335,,,
3563,1993,21037110,2,0.008282333333333333,,,
3564,1993,21037110,3,0.016411666666666668,,,
3565,1993,21037110,4,-0.009346666666666668,,,
3566,1994,21037110,1,-0.024899666666666667,,,
3567,1994,21037110,2,-0.020994333333333334,,,
3568,1994,21037110,3,0.032818999999999994,,,
3569,1994,21037110,4,-0.007105333333333332,,,
3570,1995,21037110,1,0.028716666666666668,,,
3571,1995,21037110,2,0.025522000000000003,,,
3572,1995,21037110,3,0.016949000000000002,,,
3573,1995,21037110,4,0.038071,,,
3574,1996,21037110,1,-0.005652666666666667,,,
3575,1996,21037110,2,0.014602666666666667,,,
3576,1996,21037110,3,-0.02087,,,
3577,1996,21037110,4,0.013329666666666665,,,
3578,1997,21037110,1,0.005103333333333333,,,
3579,1997,21037110,2,0.004989666666666667,,,
3580,1997,21037110,3,0.018635,,,
3581,1997,21037110,4,0.07752233333333333,,,
3582,1998,21037110,1,-0.007387,,,
3583,1998,21037110,2,-0.01190866666666667,,,
3584,1998,21037110,3,0.029744333333333334,,,
3585,1998,21037110,4,-0.020680333333333332,,,
3586,1999,21037110,1,-0.05680266666666667,,,
3587,1999,21037110,2,0.06020999999999999,,,
3588,1999,21037110,3,-0.012114666666666668,,,
3589,1999,21037110,4,0.016594666666666667,,,
3590,2000,21037110,1,0.037297,,,
3591,2000,21037110,2,0.012100333333333336,,,
3592,2000,21037110,3,0.16096166666666667,,,
3593,2000,21037110,4,-0.022733000000000007,,,
3594,2001,21037110,1,-0.002595999999999999,,,
3595,2001,21037110,2,-0.007835333333333333,,,
3596,2001,21037110,3,-0.15969733333333333,,,
3597,2001,21037110,4,0.036339,,,
3598,2002,21037110,1,0.05426133333333333,,,
3599,2002,21037110,2,-0.013267666666666669,,,
3600,2002,21037110,3,-0.05049,,,
3601,2002,21037110,4,0.04228866666666666,,,
3602,2003,21037110,1,0.003225666666666666,,,
3603,2003,21037110,2,0.07686733333333334,,,
3604,2003,21037110,3,0.017888,,,
3605,2003,21037110,4,0.03289966666666667,,,
3606,2004,21037110,1,0.009198,,,
3607,2004,21037110,2,-0.014823666666666667,,,
3608,2004,21037110,3,0.019858333333333332,,,
3609,2004,21037110,4,0.03405133333333333,,,
3610,2005,21037110,1,0.061426666666666664,,,
3611,2005,21037110,2,0.03972033333333334,,,
3612,2005,21037110,3,0.024548999999999998,,,
3613,2005,21037110,4,-0.016700000000000007,,,
3614,2006,21037110,1,-0.014161,,,
3615,2006,21037110,2,0.0023513333333333324,,,
3616,2006,21037110,3,0.030431666666666666,,,
3617,2006,21037110,4,0.05428833333333333,,,
3618,2007,21037110,1,0.082862,,,
