Year; Shares ;Company;Percentage of Company Owned; Cost (in millions) ; Market (in millions) ;Ticker;Net Change in Shares Since Prior Report
2008;75.145.426;U.S. BANCORP (XNYS:USB);4,3;2.337,00;1.879,00;USB;-30600
2008;19.944.300;WALMART INC. (XNYS:WMT);0,5;942;1.118,00;WMT;0
2008;1.727.765;The Washington Post Company ;18,4;11;674;WPO;0
2008;304.392.068;WELLS FARGO & COMPANY (XNYS:WFC);7,2;6.702,00;8.973,00;WFC;985000
2008;0;Others ;0;6.035,00;4.870,00;No Ticker;0
2007;151.610.700;AMERICAN EXPRESS COMPANY (XNYS:AXP);13,1;1.287,00;7.887,00;AXP;0
2007;35.563.200;Anheuser-Busch Companies, Inc.;4,8;1.718,00;1.861,00;BUD;-854200
2007;60.828.818;Burlington Northern Santa Fe;17,5;4.731,00;5.063,00;BNSF;0
2007;200.000.000;THE COCA-COLA COMPANY (XETR:CCC3);8,6;1.299,00;12.274,00;CCC3;0
2007;17.508.700;Conoco Phillips ;1,1;1.039,00;1.546,00;COP;-429400
2007;64.271.948;Johnson & Johnson;2,2;3.943,00;4.287,00;JNJ;0
2007;124.393.800;Kraft Foods Inc.;8,1;4.152,00;4.059,00;KHC;0
2007;48.000.000;MOODY'S CORPORATION (XNYS:MCO);19,1;499;1.714,00;MCO;0
2007;3.486.006;POSCO (XNYS:PKX);4,5;572;2.136,00;PKX;0
2007;101.472.000;THE PROCTER & GAMBLE COMPANY (XNYS:PG);3,3;1.030,00;7.450,00;PG;1472000
2007;17.170.953;Sanofi-Aventis;1,3;1.466,00;1.575,00;SNY;0
2007;227.307.000;Tesco plc;2,9;1.326,00;2.156,00;TSCDY;-2400000
2007;75.176.026;U.S. BANCORP (XNYS:USB);4,4;2.417,00;2.386,00;USB;0
2007;17.072.192;Smartshares US Large Gth ETF (XNZE:USG);17,2;536;611;USG;0
2007;19.944.300;WALMART INC. (XNYS:WMT);0,5;942;948;WMT;0
2007;1.727.765;The Washington Post Company ;18,2;11;1.367,00;WPO;0
2007;303.407.068;WELLS FARGO & COMPANY (XNYS:WFC);9,2;6.677,00;9.160,00;WFC;0
2007;1.724.200;WHITE MOUNTAINS INSURANCE GROUP, LTD. (XNYS:WTM);16,3;369;886;WTM;0
2007;0;Others ;0;5.238,00;7.633,00;No Ticker;0
2006;151.610.700;AMERICAN EXPRESS COMPANY (XNYS:AXP);12,6;1.287,00;9.198,00;AXP;0
2006;36.417.400;Anheuser-Busch Cos., Inc. ;4,7;1.761,00;1.792,00;BUD;-7436800
2006;200.000.000;THE COCA-COLA COMPANY (XETR:CCC3);8,6;1.299,00;9.650,00;CCC3;0
2006;17.938.100;Conoco Phillips ;1,1;1.066,00;1.291,00;COP;0
2006;21.334.900;JOHNSON & JOHNSON (XNYS:JNJ);0,7;1.250,00;1.409,00;JNJ;0
2006;6.708.760;M&T BANK CORPORATION (XNYS:MTB);6,1;103;820;MTB;0
2006;48.000.000;MOODY'S CORPORATION (XNYS:MCO);17,2;499;3.315,00;MCO;0
2006;2.338.961.000;PetroChina Company Limited (XNYS:PTR);1,3;488;3.313,00;PTR;0
2006;3.486.006;POSCO (XNYS:PKX);4;572;1.158,00;PKX;0
2006;100.000.000;THE PROCTER & GAMBLE COMPANY (XNYS:PG);3,2;940;6.427,00;PG;0
2006;229.707.000;Tesco ;2,9;1.340,00;1.820,00;TSCDY;0
2006;31.033.800;U.S. BANCORP (XNYS:USB);1,8;969;1.123,00;USB;0
2006;17.072.192;USG Corp;19;536;936;USG;0
2006;19.944.300;WALMART INC. (XNYS:WMT);0,5;942;921;WMT;0
2006;1.727.765;The Washington Post Company ;18;11;1.288,00;WPO;0
2006;218.169.300;Wells Fargo & Company;6,5;3.697,00;7.758,00;WFC;123077100
